10:40:22.129 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:40:46.982 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:40:46.982 [http-nio-9009-exec-10] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:41:04.121 [http-nio-9009-exec-2] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:41:04.136 [http-nio-9009-exec-4] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:41:10.154 [http-nio-9009-exec-8] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:41:10.160 [http-nio-9009-exec-7] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:41:20.535 [http-nio-9009-exec-5] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:41:20.553 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:41:27.173 [http-nio-9009-exec-2] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:41:27.175 [http-nio-9009-exec-4] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:41:30.786 [http-nio-9009-exec-1] INFO  c.i.u.b.r.c.ReportController - getTasksListBySeverity entered
10:41:32.338 [http-nio-9009-exec-8] INFO  c.i.u.b.r.c.ReportController - getTasksListBySeverity entered
10:41:33.815 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListBySeverity entered
10:41:37.084 [http-nio-9009-exec-7] INFO  c.i.u.b.r.c.ReportController - getTasksListBySeverity entered
10:41:39.459 [http-nio-9009-exec-5] INFO  c.i.u.b.r.c.ReportController - getTasksListBySeverity entered
10:42:07.010 [http-nio-9009-exec-10] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:42:07.034 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:42:19.216 [http-nio-9009-exec-9] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:42:19.237 [http-nio-9009-exec-1] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:42:23.789 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:42:23.814 [http-nio-9009-exec-7] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:42:26.694 [http-nio-9009-exec-2] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
